,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,InternetService_DSL,InternetService_Fiber optic,InternetService_No,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
3903,1,0,0,0,53,1,0,0,1,0,1,0,0,1,912,5076,0,0,1,0,1,0,0,0,0,0,1
6452,1,0,0,0,15,1,1,1,0,0,0,1,0,1,1049,2827,0,0,1,0,1,0,0,1,0,0,0
1319,1,0,0,1,1,1,0,0,0,0,0,0,0,1,18,12,1,0,0,1,1,0,0,0,0,0,1
3947,0,0,0,0,5,1,0,1,0,1,0,0,0,0,475,1141,0,1,0,0,1,0,0,0,1,0,0
6883,0,0,0,1,34,1,0,1,1,1,0,1,1,1,1382,4735,0,0,1,0,1,0,0,1,0,0,0
6440,0,0,0,0,32,1,1,0,0,1,0,1,1,1,1307,4542,0,0,1,0,1,0,0,0,0,1,0
3213,0,0,1,1,41,0,0,1,0,1,0,0,0,0,197,3087,0,1,0,0,0,1,0,0,1,0,0
6263,0,0,0,0,25,0,0,0,0,1,1,1,1,0,443,3108,0,1,0,0,0,1,0,0,0,1,0
3252,1,0,1,1,17,1,1,1,0,0,1,0,0,1,582,2619,0,1,0,0,0,1,0,0,0,0,1
653,0,0,0,0,17,1,1,0,0,0,0,0,0,0,88,1556,0,0,0,1,1,0,0,0,0,0,1
3992,0,0,0,0,70,1,1,1,1,1,0,1,1,0,989,5837,0,1,0,0,0,0,1,0,0,0,1
6409,1,0,1,1,43,1,0,0,0,0,0,0,0,1,13,2098,0,0,0,1,0,1,0,0,0,0,1
3982,1,0,0,1,71,1,1,0,0,0,0,0,0,0,79,3372,0,0,0,1,0,0,1,0,0,0,1
2431,1,1,0,0,2,0,0,0,0,0,0,0,0,1,81,169,1,1,0,0,1,0,0,0,0,0,1
6870,1,0,0,0,49,1,1,0,0,0,0,0,0,1,799,4746,0,0,1,0,1,0,0,1,0,0,0
5527,0,1,1,0,72,1,1,0,1,1,0,1,1,0,1375,6361,0,0,1,0,0,1,0,0,1,0,0
3706,1,0,0,0,26,1,1,0,0,1,1,0,0,1,981,3912,0,0,1,0,1,0,0,0,0,0,1
2423,0,0,0,0,18,1,0,0,0,0,0,0,0,0,31,1395,0,0,0,1,0,1,0,0,0,0,1
6240,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1154,474,1,0,1,0,1,0,0,0,0,1,0
2804,1,0,1,0,9,0,0,0,0,0,0,0,0,0,74,1031,1,1,0,0,0,1,0,1,0,0,0
4881,1,0,1,0,28,1,0,0,0,0,1,0,0,0,838,3758,0,0,1,0,1,0,0,1,0,0,0
570,0,0,1,1,60,1,0,0,0,0,0,0,0,1,14,2625,0,0,0,1,0,0,1,0,1,0,0
1448,1,0,0,0,23,1,0,0,0,0,0,0,0,0,46,1550,0,0,0,1,1,0,0,0,0,1,0
4532,0,0,0,0,15,1,1,0,1,0,0,0,0,1,895,2638,1,0,1,0,1,0,0,0,0,1,0
6651,0,0,0,0,29,1,1,1,1,0,1,0,0,0,668,3534,0,1,0,0,1,0,0,0,0,0,1
1745,0,0,1,1,56,1,0,0,0,0,0,0,0,1,25,2649,0,0,0,1,0,0,1,0,1,0,0
3434,0,0,0,0,11,1,0,1,0,0,1,0,0,1,451,1834,0,1,0,0,0,1,0,0,0,0,1
4420,1,0,0,0,27,1,0,1,0,1,1,1,0,0,702,3653,0,1,0,0,0,1,0,0,1,0,0
287,1,0,1,0,1,1,0,0,0,0,0,0,0,0,715,297,1,0,1,0,1,0,0,0,0,1,0
1738,0,0,1,0,66,1,1,0,1,1,1,0,0,1,1104,5893,0,0,1,0,0,1,0,1,0,0,0
6345,0,1,0,0,2,1,1,0,1,0,0,0,0,1,490,572,0,1,0,0,1,0,0,0,1,0,0
6213,0,0,1,1,19,1,0,0,0,0,0,0,0,0,32,1352,0,0,0,1,0,0,1,0,0,0,1
2664,1,0,1,1,62,1,1,1,1,0,0,1,0,1,1187,5747,0,0,1,0,0,1,0,0,1,0,0
3832,0,0,1,0,51,1,1,0,1,0,1,1,1,1,873,4863,0,1,0,0,0,1,0,0,1,0,0
6092,0,0,1,0,72,1,1,1,1,1,1,0,0,1,1173,6153,0,0,1,0,0,0,1,1,0,0,0
3424,1,0,0,0,10,1,0,0,0,0,0,1,1,1,1083,2250,1,0,1,0,1,0,0,0,0,1,0
5770,0,0,1,0,37,1,1,1,0,1,1,0,0,0,678,4044,0,1,0,0,0,1,0,0,1,0,0
1684,0,0,0,1,35,1,1,0,0,0,0,0,0,0,379,3376,0,1,0,0,1,0,0,0,0,0,1
4578,0,0,0,0,10,1,0,0,0,0,1,0,1,1,562,1846,0,1,0,0,1,0,0,0,0,0,1
1338,1,0,0,0,1,1,0,0,0,0,0,0,0,0,32,26,1,0,0,1,1,0,0,0,0,0,1
2952,0,0,1,1,26,1,0,0,0,0,0,0,0,1,34,1593,0,0,0,1,1,0,0,0,1,0,0
5776,1,0,1,0,72,1,1,1,1,1,1,0,1,1,944,5830,0,1,0,0,0,0,1,1,0,0,0
3135,0,1,0,0,38,1,1,0,0,0,1,1,1,1,1272,4753,1,0,1,0,1,0,0,0,0,1,0
6821,0,0,0,0,18,1,1,0,0,0,1,1,1,1,1278,3500,1,0,1,0,1,0,0,1,0,0,0
2258,1,0,0,0,56,1,0,1,0,1,0,0,0,0,420,4364,0,1,0,0,0,1,0,0,0,0,1
4015,0,0,0,0,36,1,1,1,0,0,0,0,0,0,448,3626,0,1,0,0,0,1,0,0,0,0,1
4253,1,0,1,1,22,1,1,0,0,1,0,1,0,1,1068,3618,0,0,1,0,1,0,0,0,0,1,0
3053,1,0,1,1,65,1,1,0,0,1,1,1,1,1,1357,6103,0,0,1,0,0,0,1,1,0,0,0
2498,1,0,1,0,27,1,0,0,1,0,1,0,0,1,435,3053,0,1,0,0,1,0,0,0,0,1,0
5471,0,0,0,0,29,1,1,0,0,0,0,0,0,1,791,3707,0,0,1,0,1,0,0,0,0,1,0
1564,1,1,0,0,10,1,1,0,0,0,0,1,1,1,1195,2305,1,0,1,0,1,0,0,0,0,1,0
5372,0,1,0,0,50,1,1,0,0,1,1,1,1,1,1374,5489,0,0,1,0,1,0,0,0,0,1,0
6957,1,0,0,0,9,1,0,0,0,0,1,1,0,0,1020,2089,0,0,1,0,1,0,0,0,0,1,0
5885,1,0,1,1,23,1,1,0,0,0,0,0,0,0,79,1683,0,0,0,1,0,1,0,0,0,0,1
2185,1,0,1,1,24,1,1,1,0,0,0,0,0,0,454,2977,1,1,0,0,1,0,0,0,0,1,0
5519,1,0,1,0,1,1,0,1,0,1,0,0,0,0,473,231,0,1,0,0,1,0,0,0,0,0,1
1231,1,0,0,0,20,1,0,1,0,1,0,0,1,0,616,3068,0,1,0,0,1,0,0,0,1,0,0
4418,1,0,1,0,58,1,0,1,1,1,0,0,0,0,549,4671,1,1,0,0,0,1,0,0,1,0,0
1258,0,0,0,0,47,1,0,0,0,0,0,0,0,0,32,2537,0,0,0,1,0,0,1,0,0,0,1
2254,1,1,1,0,72,1,1,1,1,1,1,0,0,1,1150,6117,0,0,1,0,0,0,1,1,0,0,0
1951,1,0,1,0,14,1,0,0,0,1,0,0,0,0,380,1912,0,1,0,0,1,0,0,0,1,0,0
6543,0,0,1,1,62,1,0,1,0,1,0,0,0,0,454,4593,0,1,0,0,0,1,0,0,1,0,0
113,0,1,1,0,37,1,1,0,0,0,0,0,0,1,837,4273,1,0,1,0,1,0,0,0,0,1,0
5976,1,0,0,0,29,0,0,0,1,0,1,0,0,0,179,2470,0,1,0,0,1,0,0,0,0,1,0
5149,0,0,0,0,62,1,0,0,0,0,0,0,0,1,13,2655,0,0,0,1,0,0,1,0,1,0,0
4813,0,0,0,1,46,1,0,0,1,1,0,1,1,1,1277,5097,0,0,1,0,1,0,0,0,0,1,0
507,1,0,1,0,2,1,0,0,0,0,1,1,1,1,1172,742,1,0,1,0,1,0,0,0,0,1,0
3545,0,0,0,0,50,1,1,0,0,0,0,1,1,1,1202,5250,0,0,1,0,1,0,0,0,0,1,0
3807,1,0,1,0,24,1,1,0,1,1,0,1,1,1,1368,4082,1,0,1,0,1,0,0,0,0,1,0
2932,1,1,1,0,55,1,1,0,1,1,1,1,1,1,1524,5946,0,0,1,0,0,0,1,0,0,1,0
2515,0,0,0,0,64,1,1,1,1,1,1,1,1,1,1547,6299,0,0,1,0,0,0,1,1,0,0,0
3402,0,0,0,0,4,1,1,0,1,0,0,0,1,1,1072,1283,1,0,1,0,1,0,0,0,0,1,0
4099,0,0,0,0,6,0,0,1,0,0,0,0,0,0,135,717,0,1,0,0,1,0,0,1,0,0,0
6623,1,1,0,0,1,1,1,0,0,0,0,0,0,1,836,364,1,0,1,0,1,0,0,0,0,1,0
350,1,0,1,1,37,1,1,1,0,1,1,0,0,1,591,3911,0,1,0,0,0,0,1,0,1,0,0
4147,1,1,1,0,71,1,1,0,0,0,0,0,0,0,89,3631,0,0,0,1,0,0,1,1,0,0,0
3542,1,0,1,1,29,0,0,1,1,1,1,0,1,1,466,3351,0,1,0,0,0,1,0,0,1,0,0
3759,1,0,0,0,7,1,1,0,0,1,0,1,0,1,1080,1849,1,0,1,0,1,0,0,0,1,0,0
1114,1,0,1,0,32,1,1,0,1,0,0,1,1,1,1259,4443,0,0,1,0,1,0,0,0,1,0,0
4958,0,0,1,0,59,1,1,1,1,0,0,1,0,1,1183,5649,0,0,1,0,1,0,0,0,0,1,0
298,1,0,1,1,40,1,1,0,0,1,0,1,1,1,798,4359,0,1,0,0,1,0,0,0,0,1,0
3318,1,0,0,0,10,0,0,0,0,1,0,0,0,0,136,1017,1,1,0,0,1,0,0,0,0,0,1
5586,0,0,0,0,27,1,0,0,0,0,0,0,0,0,12,1608,0,0,0,1,0,1,0,0,0,0,1
6654,0,0,1,0,7,1,1,0,0,0,0,1,0,1,1025,1768,1,0,1,0,1,0,0,0,0,1,0
5362,1,0,1,1,65,1,1,0,0,0,0,0,0,0,87,3431,0,0,0,1,0,0,1,0,1,0,0
5746,0,0,0,0,10,1,1,0,1,0,0,0,0,1,920,2169,1,0,1,0,1,0,0,0,1,0,0
2840,0,0,1,1,23,1,0,1,1,0,1,0,0,0,983,3663,0,0,1,0,1,0,0,0,0,0,1
229,0,0,1,1,47,1,1,1,1,0,1,1,1,1,1001,4948,0,1,0,0,0,0,1,0,1,0,0
5958,1,0,1,0,11,1,0,0,0,0,0,1,0,1,460,1813,0,1,0,0,1,0,0,1,0,0,0
2992,1,0,0,0,12,0,0,0,1,0,1,0,0,0,175,1478,0,1,0,0,1,0,0,0,0,0,1
6905,1,0,0,1,30,0,0,0,0,0,0,1,1,1,295,2931,0,1,0,0,1,0,0,0,0,1,0
5706,0,0,0,0,1,1,0,0,1,0,0,0,0,1,821,356,1,0,1,0,1,0,0,0,0,1,0
4519,0,0,1,0,57,1,1,0,1,1,1,1,1,1,1457,5934,0,0,1,0,0,1,0,1,0,0,0
2103,1,1,1,0,11,1,0,0,0,0,0,0,0,1,719,2205,0,0,1,0,1,0,0,0,0,1,0
6443,0,0,0,0,9,1,0,0,0,0,0,0,0,0,19,670,0,0,0,1,1,0,0,1,0,0,0
2677,0,0,0,0,4,1,0,0,0,0,0,0,0,1,716,1052,1,0,1,0,1,0,0,0,1,0,0
4526,1,0,0,0,13,1,0,1,0,0,0,0,0,1,782,2406,0,0,1,0,1,0,0,0,1,0,0
4695,0,0,0,0,35,1,0,0,0,0,0,0,0,0,44,1973,0,0,0,1,0,1,0,0,0,0,1
1614,1,0,1,0,67,0,0,1,1,0,1,0,1,1,395,4646,0,1,0,0,0,0,1,1,0,0,0
607,1,0,0,1,51,1,0,0,0,0,1,0,0,0,339,3962,0,1,0,0,0,1,0,0,1,0,0
5312,1,0,0,0,1,1,0,0,0,0,1,0,0,0,401,206,1,1,0,0,1,0,0,0,0,0,1
1093,0,0,1,1,71,1,1,1,0,1,1,0,1,0,1290,6253,0,0,1,0,0,0,1,0,0,1,0
5700,1,1,1,0,29,1,1,0,0,0,1,0,0,1,886,3995,0,0,1,0,1,0,0,0,0,1,0
6918,0,0,1,0,33,1,0,1,0,1,1,1,1,1,1350,4558,1,0,1,0,0,1,0,0,0,1,0
6684,0,0,0,1,11,0,0,1,0,0,1,0,0,1,208,1385,0,1,0,0,0,1,0,0,0,0,1
203,1,0,0,1,13,1,0,0,0,0,0,1,0,1,866,2522,0,0,1,0,1,0,0,0,1,0,0
2855,1,0,1,1,42,1,0,0,0,0,0,0,0,0,16,2264,0,0,0,1,0,0,1,0,0,0,1
3961,0,0,0,0,8,0,0,0,1,0,0,0,0,1,131,930,0,1,0,0,1,0,0,0,0,0,1
837,1,0,0,0,1,1,0,0,0,0,0,0,0,0,293,137,1,1,0,0,1,0,0,0,0,0,1
4215,1,0,1,0,72,1,1,0,1,1,1,1,1,1,1435,6410,0,0,1,0,0,0,1,0,0,1,0
1230,1,0,1,1,47,1,1,0,1,0,0,1,0,0,1039,4905,0,0,1,0,1,0,0,0,0,1,0
5339,1,0,1,1,30,1,1,0,0,0,0,1,0,0,1004,4060,0,0,1,0,1,0,0,0,0,1,0
1609,1,0,1,0,51,1,1,1,0,1,1,1,1,1,1497,5709,0,0,1,0,0,1,0,0,0,1,0
4410,0,0,1,0,16,1,0,0,1,0,0,1,1,1,1181,3165,0,0,1,0,1,0,0,1,0,0,0
4745,0,0,1,0,34,1,1,0,0,1,0,1,1,1,1290,4585,0,0,1,0,1,0,0,0,0,1,0
5679,1,0,0,0,8,1,1,0,0,0,0,0,1,1,1026,1877,1,0,1,0,1,0,0,0,0,1,0
2569,0,0,1,0,72,1,1,0,0,0,0,0,0,0,89,3606,0,0,0,1,0,0,1,0,1,0,0
6005,1,1,0,0,60,1,1,1,1,0,0,0,1,1,749,5088,0,1,0,0,0,1,0,0,0,1,0
4553,1,0,1,0,72,1,1,1,1,1,1,1,1,1,1555,6512,0,0,1,0,0,0,1,1,0,0,0
2484,1,0,1,1,12,1,0,0,0,0,0,0,0,0,39,1019,0,0,0,1,1,0,0,0,0,0,1
5367,0,0,1,1,65,1,1,1,1,0,1,1,1,1,948,5485,0,1,0,0,0,0,1,1,0,0,0
2440,1,0,1,1,32,1,0,0,0,0,0,0,0,1,18,1924,0,0,0,1,1,0,0,0,1,0,0
2614,0,0,1,1,67,1,1,1,0,0,1,0,1,1,1175,5973,1,0,1,0,0,1,0,0,1,0,0
657,1,0,1,0,45,1,0,1,1,1,0,1,1,0,876,4688,0,1,0,0,0,1,0,1,0,0,0
790,0,0,1,1,60,0,0,1,0,1,1,1,1,0,540,4685,0,1,0,0,0,0,1,0,1,0,0
2388,0,0,0,0,1,1,0,0,0,0,0,0,1,1,468,229,0,1,0,0,1,0,0,0,0,1,0
6130,0,0,0,0,58,1,0,1,1,1,1,0,0,1,626,4784,0,1,0,0,0,0,1,0,1,0,0
1359,0,0,0,0,9,1,1,0,0,0,0,1,1,1,1183,2291,1,0,1,0,1,0,0,0,0,1,0
5160,0,0,0,0,1,1,0,0,1,0,0,0,0,0,794,340,0,0,1,0,1,0,0,0,0,1,0
2347,1,0,1,1,8,1,1,0,0,0,0,0,0,0,80,856,0,0,0,1,0,1,0,0,0,0,1
4764,1,0,0,0,2,1,0,0,0,0,0,0,0,1,308,504,1,1,0,0,1,0,0,0,0,1,0
2523,0,0,1,1,47,1,0,0,0,0,0,0,0,0,34,2271,0,0,0,1,0,0,1,0,1,0,0
5341,0,1,0,0,1,1,1,0,0,0,0,0,0,1,796,342,1,0,1,0,1,0,0,0,0,0,1
6149,0,0,0,0,1,0,0,0,0,0,0,0,0,0,109,70,0,1,0,0,0,1,0,0,0,0,1
5874,0,0,0,0,10,1,1,0,0,1,0,1,1,1,1293,2561,1,0,1,0,1,0,0,0,0,1,0
6209,1,0,0,0,29,0,0,0,0,0,0,0,0,1,89,2117,0,1,0,0,0,1,0,0,0,0,1
5378,0,0,1,1,58,1,1,1,0,1,1,1,0,0,823,5105,0,1,0,0,0,0,1,0,0,0,1
3161,1,0,0,0,14,1,0,0,0,0,0,0,0,0,16,1211,0,0,0,1,0,1,0,0,0,0,1
3226,1,0,0,0,7,1,0,0,0,0,0,0,0,0,44,636,0,0,0,1,1,0,0,0,0,0,1
6012,0,0,1,1,5,1,0,0,1,0,0,0,1,1,967,1389,1,0,1,0,1,0,0,0,0,1,0
1780,0,0,0,1,18,1,0,0,0,0,0,0,0,0,32,1361,1,0,0,1,0,1,0,1,0,0,0
2618,1,0,1,1,25,1,0,0,0,0,0,0,0,0,27,1615,0,0,0,1,0,1,0,0,0,1,0
803,0,0,1,0,46,1,0,0,1,0,1,1,0,1,612,4355,0,1,0,0,0,0,1,0,1,0,0
857,1,0,0,0,1,1,0,0,1,0,0,0,0,0,392,202,1,1,0,0,1,0,0,0,0,1,0
5514,0,0,0,0,1,1,0,1,0,0,0,0,0,1,346,173,0,1,0,0,1,0,0,1,0,0,0
5184,0,0,1,0,68,1,1,1,1,0,0,0,0,1,989,5704,0,0,1,0,0,0,1,1,0,0,0
4961,1,0,1,0,18,1,0,0,0,0,0,0,0,1,292,2085,0,1,0,0,1,0,0,1,0,0,0
219,0,0,0,0,8,1,0,0,0,0,0,1,0,1,900,1840,0,0,1,0,1,0,0,1,0,0,0
1288,1,0,0,0,64,1,0,0,0,0,0,0,0,0,20,2824,0,0,0,1,0,0,1,0,0,0,1
582,0,1,0,0,4,1,1,0,0,1,0,1,0,1,1077,1264,1,0,1,0,1,0,0,0,0,1,0
43,0,0,0,0,63,1,1,1,1,1,1,1,0,1,897,5321,0,1,0,0,0,0,1,0,1,0,0
1234,1,0,0,1,54,1,0,1,1,0,1,1,1,1,1392,5763,0,0,1,0,0,1,0,0,0,1,0
4830,1,0,1,0,54,1,0,1,1,0,0,1,1,1,798,5001,0,1,0,0,0,0,1,1,0,0,0
6815,1,0,1,1,72,1,1,1,1,1,1,0,0,0,712,5448,0,1,0,0,0,0,1,1,0,0,0
1892,1,1,0,0,4,0,0,0,1,0,0,1,1,1,395,862,0,1,0,0,1,0,0,0,1,0,0
4267,0,0,1,0,72,1,1,1,1,1,1,1,1,1,1116,6081,0,1,0,0,0,0,1,1,0,0,0
6162,0,1,1,0,60,0,0,0,1,0,0,1,1,1,365,4297,0,1,0,0,0,0,1,0,1,0,0
3918,1,0,1,1,20,1,0,0,0,0,0,1,1,1,1097,3499,1,0,1,0,1,0,0,0,0,1,0
5822,0,1,0,0,35,1,0,0,0,0,0,0,0,0,726,3999,0,0,1,0,1,0,0,0,0,1,0
1071,0,0,0,0,2,1,0,0,1,0,0,0,0,1,357,463,1,1,0,0,1,0,0,0,1,0,0
718,0,0,0,0,26,0,0,0,0,1,0,1,1,1,383,2888,0,1,0,0,1,0,0,0,1,0,0
2364,1,0,1,0,14,1,1,0,1,1,0,0,0,1,950,2742,0,0,1,0,1,0,0,0,0,1,0
1505,1,1,0,0,1,1,1,0,0,0,0,0,0,1,801,345,1,0,1,0,1,0,0,0,0,1,0
670,0,0,1,1,53,1,0,0,0,0,0,0,0,1,26,2528,0,0,0,1,0,1,0,1,0,0,0
4221,1,0,0,0,1,1,0,0,0,0,0,0,0,0,15,10,0,0,0,1,1,0,0,0,1,0,0
5632,1,0,0,0,58,1,0,0,0,0,0,0,0,0,35,2671,0,0,0,1,0,0,1,0,1,0,0
4030,0,0,0,1,5,1,0,0,0,0,1,0,0,1,396,1102,0,1,0,0,1,0,0,0,0,0,1
897,0,0,0,0,53,1,1,0,1,1,0,1,1,0,1386,5690,0,0,1,0,0,0,1,0,0,1,0
5667,0,0,1,0,4,1,0,0,0,0,0,0,0,0,32,465,0,0,0,1,1,0,0,0,0,1,0
2836,1,0,0,0,49,1,1,0,1,0,0,1,1,0,1256,5366,0,0,1,0,1,0,0,0,0,1,0
1530,1,0,1,1,2,1,0,0,0,1,1,0,1,0,1093,815,1,0,1,0,1,0,0,0,1,0,0
4556,1,0,0,0,2,1,0,0,0,0,0,0,0,1,673,566,1,0,1,0,1,0,0,0,0,1,0
5621,0,0,1,0,3,1,1,0,0,0,0,0,0,1,802,938,1,0,1,0,1,0,0,0,1,0,0
2955,1,0,0,0,7,1,1,0,0,0,0,1,1,1,1165,1856,1,0,1,0,1,0,0,0,0,1,0
6468,1,0,1,0,14,1,0,0,0,0,0,0,0,0,297,1867,0,1,0,0,0,1,0,0,0,1,0
2908,1,0,1,0,18,1,1,1,0,0,0,1,1,1,1269,3463,1,0,1,0,1,0,0,0,0,1,0
6825,1,0,0,0,27,1,1,0,0,1,0,0,0,1,926,3903,0,0,1,0,1,0,0,0,0,1,0
5366,0,0,1,1,66,1,0,1,0,0,0,1,0,1,538,4893,0,1,0,0,0,0,1,0,0,1,0
1874,0,0,1,0,43,1,1,1,1,0,1,1,1,0,1024,4676,0,1,0,0,0,0,1,0,1,0,0
2370,1,0,1,0,69,1,1,1,1,1,1,1,1,1,1509,6407,0,0,1,0,0,0,1,1,0,0,0
1769,1,0,1,0,71,1,1,0,1,1,0,0,1,1,1153,6091,0,0,1,0,1,0,0,1,0,0,0
5114,0,1,0,0,50,1,1,1,1,0,0,0,0,1,963,4955,0,0,1,0,1,0,0,0,0,1,0
5577,1,0,0,0,51,1,0,0,0,0,0,0,0,0,11,2473,0,0,0,1,0,1,0,0,0,1,0
1983,1,0,1,0,27,1,1,1,0,0,1,1,1,0,917,3858,0,1,0,0,0,1,0,0,0,0,1
531,1,0,1,1,70,1,0,0,0,0,0,0,0,0,30,3008,0,0,0,1,0,0,1,0,1,0,0
5039,0,1,0,0,2,1,0,0,0,0,0,0,1,1,892,827,1,0,1,0,1,0,0,0,0,1,0
5317,0,0,0,0,6,1,0,0,0,0,1,0,0,1,369,1055,1,1,0,0,1,0,0,1,0,0,0
6082,0,0,1,0,59,1,1,0,1,0,0,1,1,0,1303,5856,1,0,1,0,1,0,0,0,0,1,0
5330,1,1,1,0,10,1,0,0,1,1,1,1,0,1,1141,2368,1,0,1,0,1,0,0,0,0,0,1
2163,1,1,1,0,29,1,1,0,0,1,0,1,1,1,1252,4350,1,0,1,0,1,0,0,0,0,1,0
731,1,0,0,0,5,1,0,0,0,0,0,0,0,0,36,473,0,0,0,1,1,0,0,0,0,0,1
2339,0,1,0,0,21,1,1,0,0,0,0,1,1,1,1173,3691,1,0,1,0,1,0,0,0,0,1,0
6876,0,0,1,0,62,1,0,1,0,1,1,1,1,1,1361,6076,0,0,1,0,0,1,0,0,0,1,0
2232,1,0,1,1,36,1,0,0,0,0,0,0,0,0,18,2059,0,0,0,1,0,0,1,0,1,0,0
6157,1,0,0,0,3,1,0,0,0,0,0,0,0,0,26,268,1,0,0,1,1,0,0,0,0,0,1
2926,0,0,1,0,69,1,1,1,1,1,1,1,1,1,1557,6484,0,0,1,0,0,0,1,0,0,1,0
1255,0,0,0,0,2,0,0,0,0,0,1,0,0,1,159,244,1,1,0,0,1,0,0,0,0,1,0
2104,0,0,1,0,8,1,1,0,0,0,0,0,1,1,999,1843,1,0,1,0,1,0,0,0,1,0,0
5144,0,1,1,0,3,0,0,0,1,0,0,0,0,1,157,415,0,1,0,0,1,0,0,0,0,1,0
3879,1,0,0,0,1,1,0,0,0,0,0,0,0,0,320,160,1,1,0,0,1,0,0,0,0,1,0
898,0,0,0,0,12,1,0,1,0,0,1,1,1,1,1260,2651,1,0,1,0,1,0,0,1,0,0,0
428,1,0,0,0,18,1,1,0,0,0,0,0,0,1,819,3061,0,0,1,0,1,0,0,1,0,0,0
4857,0,0,0,0,20,0,0,0,0,0,0,0,0,0,90,1617,0,1,0,0,1,0,0,0,1,0,0
2893,1,0,0,0,22,1,1,1,1,0,0,0,0,0,524,2847,1,1,0,0,1,0,0,0,0,1,0
5509,0,0,0,1,5,1,0,0,0,0,0,0,0,0,325,909,1,1,0,0,1,0,0,0,0,0,1
6371,0,0,0,0,24,1,1,0,0,0,0,0,0,0,95,1714,0,0,0,1,0,0,1,0,1,0,0
1222,1,0,1,1,64,1,0,1,0,1,1,1,0,0,700,5117,0,1,0,0,0,0,1,0,0,0,1
5352,1,0,0,0,26,1,0,0,0,1,1,1,1,1,1255,4077,0,0,1,0,1,0,0,0,0,1,0
6032,1,1,1,0,68,1,1,0,1,1,0,1,1,1,1381,6288,1,0,1,0,1,0,0,0,0,1,0
4038,0,0,0,0,60,1,0,0,0,0,0,0,0,0,41,2609,0,0,0,1,0,0,1,0,0,0,1
4609,1,0,1,1,25,1,1,0,0,0,1,0,0,1,461,3173,0,1,0,0,0,1,0,0,0,0,1
3176,0,0,1,0,51,1,1,0,0,0,0,0,0,0,102,2893,0,0,0,1,0,0,1,0,0,0,1
1096,0,0,1,0,7,1,0,1,0,1,1,1,1,0,925,1764,0,1,0,0,1,0,0,1,0,0,0
2072,1,0,0,1,39,1,0,0,0,0,0,0,0,0,16,2102,0,0,0,1,0,1,0,1,0,0,0
6358,0,0,1,1,72,1,0,1,0,1,1,1,1,1,909,5782,0,1,0,0,0,0,1,1,0,0,0
3842,0,0,1,0,27,1,1,0,0,0,0,1,1,0,1188,4034,0,0,1,0,1,0,0,0,1,0,0
5940,1,0,1,1,56,1,0,0,1,1,1,0,0,1,1012,5284,0,0,1,0,0,1,0,0,0,0,1
1788,0,0,1,0,57,1,0,0,0,0,0,0,0,1,21,2677,0,0,0,1,0,0,1,1,0,0,0
5101,1,0,0,0,17,1,1,1,1,1,1,1,0,1,1408,3387,0,0,1,0,1,0,0,1,0,0,0
6549,0,0,0,0,1,1,0,0,0,0,0,0,1,1,484,234,1,1,0,0,1,0,0,0,0,1,0
528,1,0,1,1,35,1,0,0,0,0,0,0,0,0,21,1950,0,0,0,1,0,0,1,0,0,0,1
3143,1,0,1,1,13,1,1,0,1,1,1,1,0,1,764,2359,0,1,0,0,1,0,0,0,0,1,0
192,0,0,1,1,69,1,0,0,0,0,0,0,0,0,24,3025,0,0,0,1,0,0,1,1,0,0,0
6251,0,0,1,1,1,1,0,0,0,0,0,0,0,0,14,9,0,0,0,1,1,0,0,0,0,1,0
1126,1,0,0,0,7,1,0,0,0,1,0,0,0,0,800,1693,1,0,1,0,1,0,0,0,0,0,1
2689,0,1,1,0,72,1,1,1,1,1,1,1,1,1,1569,6492,0,0,1,0,0,0,1,0,1,0,0
2707,1,0,0,0,3,1,0,0,0,1,1,1,1,1,1256,1118,1,0,1,0,1,0,0,0,0,1,0
6890,1,0,0,0,53,1,0,0,0,1,0,0,1,1,565,4556,0,1,0,0,0,1,0,0,0,1,0
304,1,0,0,1,38,1,1,0,1,0,0,0,0,1,937,4440,0,0,1,0,1,0,0,0,0,0,1
2957,0,0,0,0,4,1,1,0,1,0,0,0,0,1,906,1207,0,0,1,0,1,0,0,0,0,0,1
1292,0,0,0,0,62,1,1,0,1,1,1,1,1,0,985,5478,0,1,0,0,0,0,1,1,0,0,0
70,1,0,0,0,1,1,0,0,0,0,1,0,0,0,357,179,0,1,0,0,1,0,0,0,0,0,1
5978,0,0,0,0,46,1,1,1,1,0,0,0,0,0,980,4809,0,0,1,0,1,0,0,0,0,0,1
4394,1,0,0,0,19,1,1,0,0,1,1,0,0,0,534,2685,0,1,0,0,1,0,0,0,0,1,0
2615,0,0,0,0,72,1,1,1,1,1,1,1,1,1,1120,6101,0,1,0,0,0,0,1,1,0,0,0
831,1,0,1,1,38,1,1,0,0,0,0,0,0,0,93,2416,0,0,0,1,0,0,1,0,1,0,0
3075,1,0,1,0,71,1,1,0,1,1,0,1,1,1,1389,6331,0,0,1,0,0,1,0,1,0,0,0
